      50   -179.646504
      51   -179.545216
      52   -179.748607
      53   -179.199269
      54   -178.781240
      55   -178.329891
      56   -177.886984
      57   -178.031750
      58   -177.611657
      59   -177.262239
      60   -176.532371
      61   -175.129611
      62   -174.266763
      63   -173.489156
      64   -173.466759
      65   -173.073693
      66   -171.924547
      67   -171.206366
      68   -170.200084
      69   -169.980378
      70   -169.045045
      71   -168.103952
      72   -168.123443
      73   -167.755414
      74   -167.571823
      75   -165.789039
      76   -164.685996
      77   -163.887679
      78   -163.299516
      79   -163.081604
      80   -161.565811
      81   -161.059032
      82   -160.883942
      83   -159.335172
      84   -158.449328
      85   -157.646434
      86   -156.810222
      87   -156.472764
      88   -155.983612
      89   -155.376806
      90   -153.466946
      91   -152.621293
      92   -152.497023
      93   -152.568168
      94   -153.552428
      95   -151.661462
      96   -150.786095
      97   -150.097693
      98   -150.009945
      99   -149.991879
     100   -150.147314
