     100    149.415907     49.189460
     101    151.117241     49.359917
     102    151.161580     49.402044
     103    150.901861     49.374146
     104    151.948952     49.561157
     105    155.307605     49.732341
     106    152.648301     49.460475
     107    154.493432     49.418811
     108    155.835898     49.555736
     109    159.275590     49.842426
     110    157.878745     49.637198
     111    160.901869     50.010186
     112    164.882041     50.309223
     113    161.338094     50.060909
     114    163.013965     50.278173
     115    165.098560     50.418929
     116    165.219056     50.442886
     117    164.422369     50.386880
     118    166.438641     50.456330
     119    165.925737     50.261765
     120    166.727064     50.357128
     121    165.950557     50.342717
     122    169.633859     50.605831
     123    170.330090     50.758854
     124    169.866091     50.797524
     125    170.865530     50.884183
     126    163.355531     50.198435
     127    162.832071     50.286488
     128    163.278014     50.257064
     129    165.699419     50.358811
     130    167.366608     50.573175
     131    168.259859     50.471935
     132    168.159559     50.216025
     133    169.337900     50.264086
     134    169.231432     50.333463
     135    171.133776     50.554764
     136    169.654152     50.237142
     137    167.873765     49.967245
     138    168.088850     49.894400
     139    164.773551     49.377723
     140    162.609414     48.637778
     141    163.383775     48.883570
     142    165.638770     48.774394
     143    168.865491     49.378897
     144    166.914497     49.187069
     145    163.898073     48.553667
     146    167.791766     49.312089
     147    167.187120     49.230689
     148    166.902197     49.306128
     149    166.997840     49.401460
     150    166.353834     49.178650
     151    169.611122     49.724807
     152    169.972079     49.908147
     153    167.654679     49.372008
     154    171.052144     50.040736
     155    169.780740     49.737440
     156    167.902930     49.282777
     157    165.731560     49.258324
     158    169.354422     50.029862
     159    168.022109     49.875487
     160    168.613430     50.157696
     161    170.035806     50.425960
     162    168.730818     50.185829
     163    164.886029     49.797862
     164    165.791396     50.030391
     165    163.803172     49.670351
     166    160.751082     49.352363
     167    163.445677     49.931112
     168    164.113867     50.016010
     169    162.356046     49.652887
     170    159.897227     49.449693
     171    161.647445     49.518199
     172    165.632727     50.116211
     173    167.312501     50.013743
     174    167.101732     49.730698
     175    165.434122     49.653846
     176    166.930621     49.817299
     177    167.146355     49.744767
     178    163.858939     49.355074
     179    163.144952     48.876963
     180    159.671881     48.172856
     181    154.176553     47.536727
     182    152.410764     47.292789
     183    151.784225     48.147405
     184    152.954539     48.046181
     185    156.463678     48.488855
     186    150.881598     47.975785
     187    153.857349     48.132749
     188    159.719713     48.682520
     189    159.231166     48.905835
     190    160.350899     48.542342
     191    160.289265     48.836516
     192    159.495633     48.831162
     193    158.027878     48.618556
     194    158.849100     48.556335
     195    157.854143     47.984495
     196    158.267577     47.936100
     197    159.472455     48.248584
     198    156.261436     47.777700
     199    162.015513     48.489607
     200    163.513937     48.682906
